GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.helper,InternalTestHelper,3,8,0,0,1,4,1,3,1,3
tourguide,com.openclassrooms.tourguide.service,TourGuideService,32,294,4,2,8,67,6,21,3,21
tourguide,com.openclassrooms.tourguide.service,TourGuideService.new Thread() {...},0,11,0,0,0,3,0,2,0,2
tourguide,com.openclassrooms.tourguide.service,RewardsService,7,230,1,13,2,48,2,18,1,12
tourguide,com.openclassrooms.tourguide.user,UserPreferences,26,27,0,0,12,10,7,4,7,4
tourguide,com.openclassrooms.tourguide.user,UserReward,16,12,0,0,7,5,3,1,3,1
tourguide,com.openclassrooms.tourguide.user,User,43,86,1,3,15,22,11,11,10,10
tourguide,com.openclassrooms.tourguide.tracker,Tracker,10,85,2,2,5,24,2,5,0,5
tourguide,com.openclassrooms.tourguide,TourGuideModule,0,19,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide,TourGuideController,52,3,0,0,9,1,7,1,7,1
tourguide,com.openclassrooms.tourguide.configuration,AsyncConfig,0,3,0,0,0,1,0,1,0,1
